# Princeton WordNet 3.0 irregular inflections — surface → base form(s).
# GENERATED by scripts/build-irregulars.ts. Columns:
#   surface <TAB> base[,base] <TAB> pos[,pos] (v|n|a|r) <TAB> reader (1 = safe
#   without a verifier, so englishLemma may use it; 0 = edge-only, see the script)
armamentaria	armamentarium	n	1
arose	arise	v	1
arses	arsis	n	1
artal	rotl	n	1
artel	rotl	n	1
arterioscleroses	arteriosclerosis	n	1
artier	arty	a	1
artiest	arty	a	1
aruspices	aruspex	n	1
asceses	ascesis	n	1
asci	ascus	n	1
ascidia	ascidium	n	1
ascogonia	ascogonium	n	1
ashes	ash	n	1
ashier	ashy	a	1
ashiest	ashy	a	1
ashkenazim	ashkenazi	n	1
aspergilla	aspergillum	n	1
aspergilli	aspergillus	n	1
aspergilloses	aspergillosis	n	1
aspersoria	aspersorium	n	1
assaulter	assaulter	a	0
assegais	assagai,assegai	n	0
astragali	astragalus	n	1
asyndeta	asyndeton	n	1
ate	eat	v	0
atheromata	atheroma	n	1
atheroscleroses	atherosclerosis	n	1
atmolyses	atmolysis	n	1
atria	atrium	n	1
atrophied	atrophy	v	0
attacker	attacker	a	0
attorneys-at-law	attorney-at-law	n	1
auditoria	auditorium	n	1
aurae	aura	n	1
aurar	eyir,eyrir	n	0
aurei	aureus	n	1
auriculae	auricula	n	1
aurorae	aurora	n	1
auspices	auspex,auspice	n	0
autocatalyses	autocatalysis	n	1
autochthones	autochthon	n	1
automata	automaton	n	1
autos-da-fe	auto-da-fe	n	1
averred	aver	v	1
averring	aver	v	1
avitaminoses	avitaminosis	n	1
awoke	awake	v	1
awoken	awake	v	1
axes	ax,axis	n	0
axillae	axilla	n	1
babied	baby	v	1
baby-sat	baby-sit	v	1
baby-sitting	baby-sit	v	1
bacchantes	bacchant,bacchante	n	0
bacchii	bacchius	n	1
bacilli	bacillus	n	1
back-pedalled	back-pedal	v	1
back-pedalling	back-pedal	v	1
backbit	backbite	v	1
backbitten	backbite	v	1
backer	backer	a	0
backslid	backslide	v	1
backslidden	backslide	v	1
bacteriostases	bacteriostasis	n	1
bacula	baculum	n	1
bade	bid	v	0
bagged	bag	v	1
baggier	baggy	a	1
baggiest	baggy	a	1
bagging	bag	v	0
bains-marie	bain-marie	n	1
bains_marie	bain_marie	n	0
balkier	balky	a	1
balkiest	balky	a	1
ballistae	ballista	n	1
ballyragged	ballyrag	v	1
ballyragging	ballyrag	v	1
balmier	balmy	a	1
balmiest	balmy	a	1
bambini	bambino	n	1
bandeaux	bandeau	n	1
bandied	bandy	v	1
bandier	bandy	a	1
bandiest	bandy	a	1
banditti	bandit	n	1
bani	ban	n	1
banjoes	banjo	n	1
banned	ban	v	0
banning	ban	v	0
bargainer	bargainer	a	0
barklice	barklouse	n	1
barmier	barmy	a	1
barmiest	barmy	a	1
barramundies	barramundi	n	1
barred	bar	v	0
barrelled	barrel	v	0
barrelling	barrel	v	1
barring	bar	v	0
bases	base,basis	n	0
bases-on-balls	base_on_balls	n	0
bases_on_balls	base_on_balls	n	0
basidia	basidium	n	1
basified	basify	v	1
basileis	basileus	n	1
bassi	basso	n	1
bastinadoes	bastinado	n	1
bateaux	bateau	n	1
batfishes	batfish	n	1
batted	bat	v	1
battier	batty	a	1
battiest	batty	a	1
batting	bat	v	0
baulkier	baulky	a	1
baulkiest	baulky	a	1
bawdier	bawdy	a	1
bawdiest	bawdy	a	1
bayer	bayer	a	0
bayonetted	bayonet	v	1
bayonetting	bayonet	v	1
beadier	beady	a	1
beadiest	beady	a	1
beadsmen	beadsman,bedesman	n	0
beastlier	beastly	a	1
beastliest	beastly	a	1
beaten	beat	v	0
beater	beater	a	0
beatified	beatify	v	0
beautified	beautify	v	1
beaux	beau	n	1
became	become	v	1
became_known	become_known	v	0
beches-de-mer	beche-de-mer	n	1
becomes_known	become_known	v	0
bed	bed	v	0
bedded	bed	v	0
bedding	bed	v	0
bedevilled	bedevil	v	1
bedevilling	bedevil	v	1
bedimmed	bedim	v	0
bedimming	bedim	v	1
beefier	beefy	a	1
beefiest	beefy	a	1
been	be	v	1
beerier	beery	a	1
beeriest	beery	a	1
beeves	beef	n	1
befallen	befall	v	1
befell	befall	v	1
befitted	befit	v	1
befitting	befit	v	0
befogged	befog	v	0
befogging	befog	v	1
began	begin	v	1
begat	beget	v	1
begetting	beget	v	1
begged	beg	v	1
begging	beg	v	0
beginning	begin	v	0
begirt	begird	v	1
begot	beget	v	1
begotten	beget	v	0
begun	begin	v	1
beheld	behold	v	1
beholden	behold	v	0
behooves	behoof	n	1
bejewelled	bejewel	v	1
bejewelling	bejewel	v	1
bellied	belly	v	0
belly-flopped	belly-flop	v	1
belly-flopping	belly-flop	v	1
belying	belie	v	1
bendier	bendy	a	1
bendiest	bendy	a	1
benefitted	benefit	v	1
benefitting	benefit	v	1
benempt	bename	v	1
bent	bend	v	0
berried	berry	v	0
bersaglieri	bersagliere	n	1
besetting	beset	v	1
besought	beseech	v	1
bespoke	bespeak	v	0
bespoken	bespeak	v	0
best	good,well	a,r	0
bestirred	bestir	v	1
bestirring	bestir	v	1
bestrewn	bestrew	v	1
bestrid	bestride	v	1
bestridden	bestride	v	1
bestrode	bestride	v	1
betaken	betake	v	1
bethought	bethink	v	1
betook	betake	v	1
betted	bet	v	1
better	good,well	a,r	0
betting	bet	v	0
bevelled	bevel	v	1
bevelling	bevel	v	1
bhishties	bheesty,bhishti	n	0
biassed	bias	v	1
biassing	bias	v	1
bibliothecae	bibliotheca	n	1
bicennaries	bicentenary,bicentennial	n	0
bidden	bid	v	1
bidding	bid	v	0
bigger	big	a	0
biggest	big	a	1
bijoux	bijou	n	1
bilboes	bilbo	n	1
billets-doux	billet-doux	n	1
billfishes	billfish	n	1
bimboes	bimbo	n	1
bing	bing	v	0
binned	bin	v	1
binning	bin	v	1
bird-dogged	bird-dog	v	1
bird-dogging	bird-dog	v	1
bisectrices	bisectrix	n	1
bit	bite	v	0
bitchier	bitchy	a	1
bitchiest	bitchy	a	1
biter	biter	a	0
bitted	bit	v	1
bitten	bite	v	1
bittier	bitty	a	1
bittiest	bitty	a	1
bitting	bit	v	1
bivouacked	bivouac	v	1
bivouacking	bivouac	v	0
blabbed	blab	v	1
blabbing	blab	v	1
blackberried	blackberry	v	1
blackfeet	blackfoot	n	1
blackfishes	blackfish	n	1
blacklegged	blackleg	v	1
blacklegging	blackleg	v	1
blastemata	blastema	n	1
blastulae	blastula	n	1
blatted	blat	v	1
blatting	blat	v	1
blearier	bleary	a	1
bleariest	bleary	a	1
bled	bleed	v	1
blest	bless	v	0
blew	blow	v	1
blew_one's_nose	blow_one's_nose	v	0
blindfishes	blindfish	n	1
blipped	blip	v	1
blipping	blip	v	1
blobbed	blob	v	1
blobbing	blob	v	1
bloodied	bloody	v	1
bloodier	bloody	a	1
bloodiest	bloody	a	1
bloodthirstier	bloodthirsty	a	1
bloodthirstiest	bloodthirsty	a	1
blotted	blot	v	1
blotting	blot	v	1
blowfishes	blowfish	n	1
blowier	blowy	a	1
blowiest	blowy	a	1
blowing_one's_nose	blow_one's_nose	v	0
blown	blow	v	0
blows_one's_nose	blow_one's_nose	v	0
blowsier	blowsy	a	1
blowsiest	blowsy	a	1
blowzier	blowzy	a	1
blowziest	blowzy	a	1
blubbed	blub	v	1
blubbing	blub	v	1
blue-pencilled	blue-pencil	v	1
blue-pencilling	blue-pencil	v	1
bluefishes	bluefish	n	1
bluer	blue	a	1
bluest	blue	a	1
blurred	blur	v	0
blurring	blur	v	1
boarfishes	boarfish	n	1
bobbed	bob	v	1
bobbing	bob	v	1
bodied	body	v	0
bogged-down	bog-down	v	1
bogged_down	bog_down	v	0
bogging-down	bog-down	v	1
bogging_down	bog_down	v	0
bogs-down	bog-down	v	1
bogs_down	bog_down	v	0
bok	boschbok	n	1
boleti	boletus	n	1
bolivares	bolivar	n	1
bolsheviki	bolshevik	n	1
bonefishes	bonefish	n	1
boner	boner	a	0
bongoes	bongo	n	1
bonier	bony	a	1
boniest	bony	a	1
bonitoes	bonito	n	1
bonnier	bonny	a	1
bonniest	bonny	a	1
booby-trapped	booby-trap	v	1
booby-trapping	booby-trap	v	1
booklice	booklouse	n	1
bookshelves	bookshelf	n	1
bootlegged	bootleg	v	1
bootlegging	bootleg	v	0
boozier	boozy	a	1
booziest	boozy	a	1
bopped	bop	v	1
bopping	bop	v	1
boraces	borax	n	1
borborygmi	borborygmus	n	1
bordereaux	bordereau	n	1
bore	bear	v	0
born	bear	v	0
borne	bear	v	1
boskier	bosky	a	1
boskiest	bosky	a	1
bossier	bossy	a	1
bossiest	bossy	a	1
botargoes	botargo	n	1
botchier	botchy	a	1
botchiest	botchy	a	1
bother	bother	a	0
bottle-fed	bottle-feed	v	0
bought	buy	v	1
bouncier	bouncy	a	1
bounciest	bouncy	a	1
bound	bind	v	0
bounder	bounder	a	0
bower	bower	a	0
box-kodaks	box_kodak	n	0
boxfishes	boxfish	n	1
brachia	brachium	n	1
bragged	brag	v	1
bragging	brag	v	0
brainchildren	brainchild	n	1
brainier	brainy	a	1
brainiest	brainy	a	1
branchiae	branchia	n	1
brants	brant,brent	n	0
brashier	brashy	a	1
brashiest	brashy	a	1
brassier	brassy	a	1
brassiest	brassy	a	1
bravadoes	bravado	n	1
bravoes	bravo	n	1
brawnier	brawny	a	1
brawniest	brawny	a	1
breast-fed	breast-feed	v	0
breathier	breathy	a	1
breathiest	breathy	a	1
bred	breed	v	1
breezier	breezy	a	1
breeziest	breezy	a	1
bregmata	bregma	n	1
brethren	brother	n	0
brevetted	brevet	v	1
brevetting	brevet	v	1
brimmed	brim	v	1
brimming	brim	v	0
brinier	briny	a	1
briniest	briny	a	1
britisher	britisher	a	0
broadcast_media	broadcast_medium	n	0
broadcaster	broadcaster	a	0
broadleaves	broadleaf	n	1
broke	break	v	0
broken	break	v	0
bronchi	bronchus	n	1
brooder	brooder	a	0
broodier	broody	a	1
broodiest	broody	a	1
brothers-in-law	brother-in-law	n	1
brought	bring	v	1
browbeaten	browbeat	v	1
brutified	brutify	v	1
bryozoa	bryozoan	n	0
bubblier	bubbly	a	1
bubbliest	bubbly	a	1
buboes	bubo	n	1
buckoes	bucko	n	1
buckteeth	bucktooth	n	1
budded	bud	v	1
budding	bud	v	0
buffaloes	buffalo	n	1
bugged	bug	v	0
buggier	buggy	a	1
buggiest	buggy	a	1
bugging	bug	v	1
built	build	v	0
bulkier	bulky	a	1
bulkiest	bulky	a	1
bullae	bulla	n	1
bulldogging	bulldog	v	1
bullied	bully	v	1
bullshitted	bullshit	v	1
bullshitting	bullshit	v	1
bullwhipped	bullwhip	v	1
